SEARCH,SEARCH_TYPE,WOS_ID,TITLE,DOI,EXTRACTED_BY,Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,,,
Search_1,Ecological complexity,WOS_000279521900001,Measuring ecological complexity,10.1016/j.ecolind.2010.03.014,Emma_scrape,J,"Parrott, L",,,,"Parrott, Lael",,,ECOLOGICAL INDICATORS,,,English,Review,,,,,,Ecological complexity; Complex systems; Ecological orientors; Entropy,STRUCTURAL COMPLEXITY; INDICATING ECOSYSTEM; NETWORK STRUCTURE; SPECIES RICHNESS; DIGITAL IMAGES; BIODIVERSITY; CLASSIFICATION; STABILITY; DYNAMICS; PATTERNS,"Complexity is an elusive term in ecology that is often used in different ways to describe the state of an ecosystem. Ecological complexity has been linked to concepts such as ecological integrity, diversity and resilience and has been put forth as a candidate ecological orientor. In this article, the concept of complexity as a system attribute is presented and candidate measures of ecological complexity are reviewed. The measures are distinguished by their ability to characterize the spatial, temporal, structural or spatiotemporal signatures of an ecosystem. Many of these measures have been adapted from disciplines such as physics and information theory that have a long history of quantifying complexity, however more work needs to be clone to develop techniques adapted to ecological data. It is argued that if appropriate measures are developed and validated for ecosystems, ecological complexity could become a key ecological indicator. (C) 2010 Elsevier Ltd. All rights reserved.","Univ Montreal, Dept Geog, Complex Syst Lab, Montreal, PQ H3C 3J7, Canada","Parrott, L (corresponding author), Univ Montreal, Dept Geog, Complex Syst Lab, CP 6128 Succursale Ctr Ville, Montreal, PQ H3C 3J7, Canada.",lael.parrott@umontreal.ca,"Wrbka, Thomas/A-5699-2010","Wrbka, Thomas/0000-0002-1451-9108",Natural Sciences and Engineering Research Council of Canada (NSERC)Natural Sciences and Engineering Research Council of Canada (NSERC),"I would like to thank Friedrich Recknagel who strongly encouraged me to publish these ideas and gave me the final impetus that I needed to write this manuscript. The network visualization in Fig. 4 was done by Rodolphe Gonzales. I would also like to acknowledge Holger Lange, Raphael Proulx and Bai-Lin (Larry) Li with whom I have had stimulating discussions about the problem of measuring ecological complexity. The Natural Sciences and Engineering Research Council of Canada (NSERC) provided funding for this research.",,70,79,85,5,94,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",1470-160X,1872-7034,,ECOL INDIC,Ecol. Indic.,NOV,2010,10,6,,,,,1069,1076,,,,8,Biodiversity Conservation; Environmental Sciences,Biodiversity & Conservation; Environmental Sciences & Ecology,620TD,,,,,9/23/21,,,
Search_1,Ecological complexity,WOS_000405751000002,Ecological complexity and agroecosystems: seven themes from theory,10.1080/21683565.2017.1322166,Emma_scrape,J,"Vandermeer, J; Perfecto, I",,,,"Vandermeer, John; Perfecto, Ivette",,,AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,,,English,Article,,,,,,ecological complexity; chaos; coupled oscillators; stochasticity; trait-mediated interactions,MEDIATED INDIRECT INTERACTIONS; FOOD SOVEREIGNTY; CRITICAL TRANSITIONS; MUTUALISM; DYNAMICS; AGRICULTURE; SAVANNA; PATTERN; FOREST,"Exploring the intersection of new ideas of ecological complexity with insights from traditional agricultural systems is the fundamental subject of this article, with an emphasis on seven themes of ecological complexity, as reflecting contemporary themes in ecology. The seven themes are as follows: 1) turing processes and spatial structure, 2) chaotic dynamics, 3) stochastic processes, 4) coupled oscillators, 5) multidimensionality, 6) trait-mediated indirect interactions, and 7) critical transitions (catastrophe theory). We suggest that these themes of complexity naturally integrate to form one qualitative whole that could be considered a single subject-ecological complexity.","[Vandermeer, John] Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA; [Perfecto, Ivette] Univ Michigan, Sch Environm & Sustainabil, 440 Church, Ann Arbor, MI 48109 USA","Perfecto, I (corresponding author), Univ Michigan, Sch Environm & Sustainabil, 440 Church, Ann Arbor, MI 48109 USA.",perfecto@umich.edu,,,,,,46,4,4,2,25,TAYLOR & FRANCIS INC,PHILADELPHIA,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA",2168-3565,2168-3573,,AGROECOL SUST FOOD,Agroecol. Sustain. Food Syst.,,2017,41,7,,,SI,,697,722,,,,26,"Agriculture, Multidisciplinary; Green & Sustainable Science & Technology",Agriculture; Science & Technology - Other Topics,FA9FI,,,,,9/23/21,,,
Search_1,Ecological complexity,WOS_000335089100006,Emergent learning focused teachers and their ecological complexity worldview,10.1080/13573322.2012.680435,Emma_scrape,J,"Butler, JI; Storey, B; Robson, C",,,,"Butler, Joy I.; Storey, Brian; Robson, Claire",,,SPORT EDUCATION AND SOCIETY,,,English,Article,,,,,,Ecological complexity; Complexity thinking; Inventing Games; Teaching Games for Understanding (TGfU); Emergent focused learning; World view; Physical education,PHYSICAL-EDUCATION; TEACHING GAMES; CURRICULUM; MODEL,"Although Teaching Games for Understanding (TGfU) has gained ground, pedagogical models are sustainable only when situated in a comprehensive worldview and consistent epistemology. After considering the five values orientations offered by Jewett, Bain, and Ennis, the authors conclude that ecological integration offers a useful starting point in this regard, but taking this a step further, they offer a worldview that they call ecological complexity, woven together from social constructivism, complexity, and ecological thinking. Since the authors argue that teachers who espouse this worldview focus on emergent learning, they have coined the term emergent learning focused (ELF) teacher to describe the pedagogical approaches that might result. These encourage the spontaneous play seen in the schoolyard, playground, or village green as opposed to work in the factory. ELF teachers encourage learners to develop holistically as they construct meaning, positioning themselves in the ecosphere of which they form an integral part. The authors apply ecological complexity to Inventing Games, in which learners invent and refine games within the TGfU classifications. They argue that as learners work together to invent and develop ownership of their games, they engage in a cognitive apprenticeship that prepares them for life in the wider community. Specifically, learners develop core social and emotional learning skills in a process that the authors have termed situated ethics. As game play structures and constraints work in balance to produce disturbances, learners adapt and game play evolves. Learners learn to navigate these adaptations and evolutions by creating sustainable democratic processes. Teachers who operate from an ecological complexity worldview see all educational agents-learners, teachers, administrators, curriculum, school, community, and culture-as parts of a sustainable learning system. The authors conclude by offering the building blocks they believe might move this system closer to sustainability in games education.","[Butler, Joy I.] Univ British Columbia, Vancouver, BC V6T 1Z4, Canada; [Storey, Brian] Douglas Coll, New Westminster, BC, Canada; [Robson, Claire] Univ Calgary, Calgary, AB, Canada","Butler, JI (corresponding author), Univ British Columbia, Dept Curriculum & Pedag, Fac Educ, Vancouver, BC V6T 1Z4, Canada.",joy.butler@ubc.ca,,,,,,59,9,9,0,24,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND",1357-3322,1470-1243,,SPORT EDUC SOC,Sport. Educ. Soc.,maio 19,2014,19,4,,,,,451,471,,,,21,"Education & Educational Research; Hospitality, Leisure, Sport & Tourism; Sport Sciences",Education & Educational Research; Social Sciences - Other Topics; Sport Sciences,AG0EW,,,,,9/23/21,,,
Search_1,Ecological complexity,WOS_000260122300001,Editorial: Ecological complex systems,10.1140/epjb/e2008-00380-9,Emma_scrape,J,"Provata, A; Sokolov, IM; Spagnolo, B",,,,"Provata, Astero; Sokolov, Igor M.; Spagnolo, Bernardo",,,EUROPEAN PHYSICAL JOURNAL B,,,English,Editorial Material,,,,,,,NOISE; PROTEIN; MODEL; MEMORY; MATTER,"Main aim of this topical issue is to report recent advances in noisy nonequilibrium processes useful to describe the dynamics of ecological systems and to address the mechanisms of spatio-temporal pattern formation in ecology both from the experimental and theoretical points of view. This is in order to understand the dynamical behaviour of ecological complex systems through the interplay between nonlinearity, noise, random and periodic environmental interactions. Discovering the microscopic rules and the local interactions which lead to the emergence of specific global patterns or global dynamical behaviour and the noise's role in the nonlinear dynamics is an important, key aspect to understand and then to model ecological complex systems.","[Provata, Astero] Demokritos Natl Ctr Sci Res, Inst Phys Chem, GR-15310 Athens, Greece; [Sokolov, Igor M.] Humboldt Univ, Inst Phys, D-12489 Berlin, Germany; [Spagnolo, Bernardo] Univ Palermo, Dipartimento Fis & Tecnol Relat, Grp Interdisciplinary Phys, I-90128 Palermo, Italy","Provata, A (corresponding author), Demokritos Natl Ctr Sci Res, Inst Phys Chem, GR-15310 Athens, Greece.",aprovata@chem.demokritos.gr; igor.sokolov@physik.hu-berlin.de; spagnolo@unipa.it,"Sokolov, Igor M/D-1668-2009; Spagnolo, Bernardo/F-6973-2014","Sokolov, Igor M/0000-0002-4688-9162; Spagnolo, Bernardo/0000-0002-6625-3989; Provata, Astero/0000-0001-5163-7595",,,,47,17,17,0,4,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",1434-6028,1434-6036,,EUR PHYS J B,Eur. Phys. J. B,OCT,2008,65,3,,,,,307,314,,,,8,"Physics, Condensed Matter",Physics,361IW,,Green Submitted,,,9/23/21,,,
Search_1,Ecological complexity,WOS_000547689600001,Four Cultural Narratives for Managing Social-ecological Complexity in Public Natural Resource Management,10.1007/s00267-020-01320-6,Emma_scrape,J,"Kirsop-Taylor, NA; Hejnowicz, AP; Scott, K",,,,"Kirsop-Taylor, Nick A.; Hejnowicz, Adam P.; Scott, Karen",,,ENVIRONMENTAL MANAGEMENT,,,English,Article,,,,,,Public agency; Water-Energy-Food nexus; Organisation; Environment; Culture; Social-ecological complexity,ENERGY-FOOD NEXUS; ORGANIZATIONAL CULTURE; ECOSYSTEM MANAGEMENT; POLICY; WATER; ACCOUNTABILITY; LESSONS; LAND; PERSPECTIVE; GOVERNANCE,"Public Natural Resource Management (NRM) agencies operate in complex social-ecological domains. These complexities proliferate unpredictably therefore investigating and supporting the ability of public agencies to respond effectively is increasingly important. However, understanding how public NRM agencies innovate and restructure to negotiate the range of particular complexities they face is an under researched field. One particular conceptualisation of the social-ecological complexities facing NRM agencies that is of growing influence is the Water-Energy-Food (WEF) nexus. Yet, as a tool to frame and understand those complexities it has limitations. Specifically, it overlooks how NRMs respond institutionally to these social-ecological complexities in the context of economic and organisational challenges-thus creating a gap in the literature. Current debates in public administration can be brought to bear here. Using an organisational cultures approach, this paper reports on a case study with a national NRM agency to investigate how they are attempting to transform institutionally to respond to complexity in challenging times. The research involved 12 elite interviews with senior leaders from Natural Resources Wales, (NRW) and investigated how cultural narratives are being explicitly and implicitly constructed and mobilised to this end. The research identified four distinct and sequential cultural narratives: collaboration, communication, trust, and empowerment where each narrative supported the delivery of different dimensions of NRW's social-ecological complexity mandate. Counter to the current managerialist approaches in public administration, these results suggest that the empowerment of expert bureaucrats is important in responding effectively to complexity.","[Kirsop-Taylor, Nick A.; Scott, Karen] Univ Exeter, Polit Dept, Penryn TR10 9FE, Cornwall, England; [Hejnowicz, Adam P.] Univ York, Dept Biol, Wentworth Way, York YO10 5DD, N Yorkshire, England","Kirsop-Taylor, NA (corresponding author), Univ Exeter, Polit Dept, Penryn TR10 9FE, Cornwall, England.",n.a.kirsop-taylor@exeter.ac.uk,,"Kirsop-Taylor, Nicholas/0000-0003-4247-5971","Centre for the Evaluation of Complexity Across the Nexus, a UK Economic and Social Research Council large centre [ES/N012550/1]; Natural Resources Wales","This paper was funded through a Research Fellowship from The Centre for the Evaluation of Complexity Across the Nexus, a UK Economic and Social Research Council large centre [ES/N012550/1]. Research was conducted with the generous support of Natural Resources Wales. The data that comprised this research is stored at the UK Data Service but safeguarded due to its sensitive nature.",,120,0,0,2,9,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0364-152X,1432-1009,,ENVIRON MANAGE,Environ. Manage.,SEP,2020,66,3,,,,,419,434,,,jul. 2020,16,Environmental Sciences,Environmental Sciences & Ecology,ND3AJ,32632498,"hybrid, Green Published, Green Accepted",,,9/23/21,,,
Search_1,Ecological complexity,WOS_000427210800016,Ecoacoustic codes and ecological complexity,10.1016/j.biosystems.2017.09.003,Emma_scrape,J,"Farina, A",,,,"Farina, Almo",,,BIOSYSTEMS,,,English,Article,,,,,,Ecological complexity; Soundscape; Ecoacoustic codes; Eco-fields; Acoustic complexity index,ACOUSTIC ADAPTATION; CATEGORICAL PERCEPTION; ECO-FIELD; SONG; NOISE; COMMUNICATION; HYPOTHESIS; PATTERNS; SOUND; TRANSMISSION,"Multi-layer communication and sensing network assures the exchange of relevant information between animals and their umwelten, imparting complexity to the ecological systems. Individual soniferous species, the acoustic community, and soundscape are the three main operational levels that comprise this multi-layer network. Acoustic adaptation and acoustic niche are two more important mechanisms that regulate the acoustic performances at the first level while the acoustic community model explains the complexity of the interspecific acoustic network at the second level. Acoustic habitat and ecoacoustic events are two of the most relevant mechanisms that operate at the third level. The exchange of ecoacoustic information on each of these levels is assured by ecoacoustic codes. At the level of individual sonifeorus species, a dyadic intraspecific exchange of information is established between an emitter and a receiver. Ecoacoustic codes discriminate, identify, and label specific signals that pertain to the theme, variation, motif repetition, and intensity of signals. At the acoustic community level, a voluntarily or involuntarily communication is established between networks of interspecific emitters and receivers. Ecoacoustic codes at this level transmit information (e.g., recognition of predators, location of food sources, availability and location of refuges) between one species and the acoustically interacting community and impart cohesion to interspecific assemblages. At the soundscape level, acoustic information is transferred from a mosaic of geophonies, biophonies, and technophonies to different species that discriminate meaningful ecoacoustic events and their temporal dynamics during habitat selection processes. Ecoacoustic codes at this level operate on a limited set of signals from the environmental acoustic dynamic that are heterogeneous in time and space, and these codes are interpreted differently according to the species during habitat selection and the completion of phenological cycles. The process of ecoacoustic coding can be interpreted according to the eco-field theory, which describes the procedures utilized by a receiver to intercept and optimize acoustic information. The acoustic codes may be detected and identified using mathematical models that simulate their performances. The Acoustic Complexity Indices are an appropriate tool to investigate the acoustic codes in action on all three levels. Ecoacoustic codes are powerful agencies used by sound-adapted species to cope with environmental novelties, and their efficiency may represent an important divide between whether a species perpetuates or becomes extinct. (C) 2017 Elsevier B.V. All rights reserved.","[Farina, Almo] Urbino Univ, Dept Pure & Appl Sci, Urbino, Italy","Farina, A (corresponding author), Urbino Univ, Dept Pure & Appl Sci, Urbino, Italy.",almo.farina@uniurb.it,,,,,,103,9,9,2,24,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0303-2647,1872-8324,,BIOSYSTEMS,Biosystems,FEB,2018,164,,,,SI,,147,154,,,,8,Biology; Mathematical & Computational Biology,Life Sciences & Biomedicine - Other Topics; Mathematical & Computational Biology,FY9TW,28887176,,,,9/23/21,,,
Search_1,Ecological complexity,WOS_000229142400002,Challenges of ecological complexity,,Stefano,J,[Anonymous],,,,[Anonymous],,,ECOLOGICAL COMPLEXITY,,,English,Article,,,,,,,,"Complexity poses enormous challenges in ecology. In order to study complexity or factor it into our theories or models, a better understanding of complexity is needed. Complexity has at least six dimensions in ecology: spatial, temporal, structural, process, behavioral, and geometric. These six sources of complexity are discussed. Issues and approaches to the study of complexity are also discussed. It is argued that our vocabulary for describing complexity is deficient in many areas. Scaling is a successful technique that has been used to simplify complex relationships. Model reduction is shown to be a powerful technique that applies when either ensembles of objects behave as aggregate wholes or conservation laws constrain overall behaviors. It is argued that experimental frames need more attention when dealing with complex ecosystem attributes. Life history theory and metapopulation models are two areas where further development of the subject depends on the ability to handle complexity properly. It is concluded that explicit study of complexity is both necessary and timely.",,"NCASI, 552 S Washington St,224, Naperville, IL 60540 USA.",,,,,,,0,22,22,1,5,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",1476-945X,1476-9840,,ECOL COMPLEX,Ecol. Complex.,MAR,2004,1,1,,,,,3,6,,,,4,Ecology,Environmental Sciences & Ecology,926SH,,,,,9/23/21,,,
Search_1,Ecological complexity,WOS_000233858400008,"Ecology, complexity, and metaphor",10.1641/0006-3568(2005)055[1065:ECAM]2.0.CO;2,Emma_scrape,J,"Proctor, JD; Larson, BMH",,,,"Proctor, JD; Larson, BMH",,,BIOSCIENCE,,,English,Article,,,,,,ecology; complexity; metaphor; science; self-organization,ECOSYSTEMS; CHAOS,"Complexity has recently risen to prominence in ecology as part of a broader interest that suggests its status is something more than just a scientific theory or property of reality. It may be helpful to consider complexity, and related terms such as self-organization, as recent metaphors deployed to advance knowledge on fundamental questions in ecology, including the relationship between parts and wholes, and between order and disorder. Though not commonly viewed as such, metaphors are an indispensable component of science, and should not be appraised as true or false, but rather in terms of how they help or hinder knowledge. By understanding metaphor as a necessary ally and not a threat to ecological knowledge, we may enrich our contextual understanding of complexity while continuing to invoke it in useful ways. The special section introduced by this article features essays by two prominent experts in ecology, complexity, and metaphor: science studies scholar Evelyn Fox Keller and theoretical ecologist Simon Levin.","Lewis & Clark Coll, Environm Studies Program, Portland, OR 97219 USA","Proctor, JD (corresponding author), Lewis & Clark Coll, Environm Studies Program, 0615 SW Palatine Hill Rd, Portland, OR 97219 USA.",jproctor@lclark.edu; blarson@ucdavis.edu,,,,,,41,28,29,1,14,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0006-3568,1525-3244,,BIOSCIENCE,Bioscience,DEC,2005,55,12,,,,,1065,1068,,,,4,Biology,Life Sciences & Biomedicine - Other Topics,992BH,,Bronze,,,9/23/21,,,
Search_1,Ecological complexity,WOS_A1972O075000010,MIGRATION AND ECOLOGICAL COMPLEX,10.2307/2093456,Emma_scrape,J,"SLY, DF",,,,"SLY, DF",,,AMERICAN SOCIOLOGICAL REVIEW,,,English,Article,,,,,,,,,,,,,,,,,33,52,52,1,5,AMER SOCIOLOGICAL ASSOC,WASHINGTON,"1722 N ST NW, WASHINGTON, DC 20036-2981",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,,1972,37,5,,,,,615,&,,,,0,Sociology,Sociology,O0750,,,,,9/23/21,,,
Search_1,Ecological complexity,WOS_A1974U892600002,MARKET DEVELOPMENT AND ECOLOGICAL COMPLEX,10.1111/j.0033-0124.1974.00382.x,Emma_scrape,J,"SYMANSKI, R; BROMLEY, RJ",,,,"SYMANSKI, R; BROMLEY, RJ",,,PROFESSIONAL GEOGRAPHER,,,English,Article,,,,,,,,,"UNIV TEXAS,ARLINGTON,TX 76010; UNIV WALES,SWANSEA,WALES",,,,,,,,25,5,5,0,0,BLACKWELL PUBLISHERS,MALDEN,"350 MAIN STREET, STE 6, MALDEN, MA 02148",0033-0124,,,PROF GEOGR,Prof. Geogr.,,1974,26,4,,,,,382,388,,,,7,Geography,Geography,U8926,,,,,9/23/21,,,
